method,clusters_size,n_cluster,silhouette_score,coph_corr,features
single,[5953    1    1],3,0.4950141337974197,0.4847257825087407,"['BMI', '# cyclist races', 'std_dev position']"
single,[5953    1    1],3,0.4516961083630141,0.5152183916175856,"['BMI', '# cyclist races', 'birth_year']"
single,[5952    1    1    1],4,0.42928734295501003,0.4847257825087407,"['BMI', '# cyclist races', 'std_dev position']"
single,[5953    1    1],3,0.4263843532531656,0.5259900939261013,"['BMI', 'AVG position', '# cyclist races']"
single,[5951    3    1],3,0.40093820401870983,0.3545564260818407,"['AVG position', '# cyclist races', 'std_dev position']"
single,[5951    1    1    1    1],5,0.3981726975723964,0.5152183916175856,"['BMI', '# cyclist races', 'birth_year']"
single,[5952    1    1    1],4,0.39793172177248304,0.5152183916175856,"['BMI', '# cyclist races', 'birth_year']"
single,[5953    1    1],3,0.3878077966873124,0.31952929140405945,"['AVG position', 'birth_year', 'std_dev position']"
average,[5547  403    5],3,0.37969514875914223,0.6667820291117917,"['BMI', '# cyclist races', 'birth_year']"
ward,[1901 1160 2894],3,0.3785128881095722,0.611545680346891,"['AVG position', '# cyclist races', 'birth_year']"
single,[   2    2 5948    1    1    1],6,0.3757769822946188,0.4847257825087407,"['BMI', '# cyclist races', 'std_dev position']"
single,[5953    1    1],3,0.3754388425048501,0.4121534600444764,"['BMI', 'AVG position', '# cyclist races', 'birth_year']"
single,[   2 5950    1    1    1],5,0.37510234445232843,0.4847257825087407,"['BMI', '# cyclist races', 'std_dev position']"
single,[5953    1    1],3,0.3736432495767714,0.4053233345927715,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
single,[5952    1    1    1],4,0.3732077697123075,0.4053233345927715,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
single,[5953    1    1],3,0.37077727415982903,0.46192357799900957,"['BMI', 'birth_year', 'std_dev position']"
ward,[1433 1374  481 2667],4,0.36302658644814934,0.6055728249194079,"['AVG position', '# cyclist races', 'std_dev position']"
ward,[1433 1374 3148],3,0.36113297315254667,0.6055728249194079,"['AVG position', '# cyclist races', 'std_dev position']"
single,[5951    1    1    1    1],5,0.35948134417916644,0.5259900939261013,"['BMI', 'AVG position', '# cyclist races']"
single,[5952    1    1    1],4,0.3593083133605733,0.5259900939261013,"['BMI', 'AVG position', '# cyclist races']"
single,[5953    1    1],3,0.3568230260208892,0.4041068722633611,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
