_url,name,points,uci_points,length,climb_total,profile,startlist_quality,average_temperature,is_tarmac,is_cobbled,is_gravel,date,climb/length,median_delta,std_delta
tour-de-france/1978/stage-6,Tour de France,100,,162000,1101,1,1241,,1,0,0,1978-07-05,0.006796296296296296,27.0,6.847589931546714
vuelta-a-espana/2016/stage-14,Vuelta a España,80,100,196000,5575,5,821,,1,0,0,2016-09-03,0.02844387755102041,1957.0,873.8356698492918
tour-de-france/2019/stage-21,Tour de France,100,120,128000,781,1,1699,,1,0,0,2019-07-28,0.0061015625,29.0,44.0795307056556
volta-a-catalunya/1999/prologue,Volta Ciclista a Catalunya,50,,8100,68,1,804,,1,0,0,1999-06-17,0.008395061728395062,53.0,27.154497912357733
tour-de-france/2022/stage-9,Tour de France,100,120,192900,3743,3,1551,24,1,0,0,2022-07-10,0.01940383618455158,1376.0,675.3542300723467
vuelta-a-espana/2017/stage-20,Vuelta a España,80,100,117500,3817,5,899,,1,0,0,2017-09-09,0.032485106382978725,1113.0,490.08617566570666
tour-de-france/1978/stage-14,Tour de France,100,,52000,1351,5,1241,,1,0,0,1978-07-14,0.02598076923076923,580.5,231.2733933165256
volta-a-catalunya/2018/stage-7,Volta Ciclista a Catalunya,50,50,154800,2008,2,659,,1,0,0,2018-03-25,0.012971576227390182,101.0,187.12934033080495
volta-a-catalunya/1981/stage-2b,Volta Ciclista a Catalunya,50,,30000,588,4,388,,1,0,0,1981-09-05,0.0196,15.0,5.2783625407043715
paris-nice/1994/stage-8b,Paris - Nice,50,,12500,331,5,900,,1,0,0,1994-03-13,0.02648,121.5,44.31261552579402
tirreno-adriatico/1984/stage-1,Tirreno-Adriatico,50,,189000,1193,1,541,,1,0,0,1984-03-09,0.006312169312169312,20.0,7.483314773547884
dauphine/1991/stage-2,Critérium du Dauphiné Libéré,50,,222000,3899,4,830,,1,0,0,1991-06-05,0.017563063063063062,0.0,0.0
dauphine/2022/stage-7,Critérium du Dauphiné,50,60,134800,3828,5,789,22,1,0,0,2022-06-11,0.028397626112759644,998.0,483.00428291417137
ronde-van-vlaanderen/1980/result,Ronde van Vlaanderen / Tour des Flandres,275,,265000,2717,1,602,,0,0,0,1980-03-30,0.010252830188679245,375.0,189.26112312694522
volta-a-catalunya/2015/stage-4,Volta Ciclista a Catalunya,50,6,188400,3867,3,817,,1,0,0,2015-03-26,0.02052547770700637,1669.0,668.573869320117
milano-sanremo/2004/result,Milano-Sanremo,275,,294000,2618,1,1400,,0,0,0,2004-03-20,0.008904761904761905,127.0,253.96151899759914
tour-de-suisse/1997/stage-6,Tour de Suisse,50,,193900,2108,2,1161,,1,0,0,1997-06-23,0.010871583290355853,0.0,158.85512576052483
tirreno-adriatico/2005/stage-2,Tirreno-Adriatico,50,,181000,2340,3,1040,,1,0,0,2005-03-10,0.01292817679558011,82.0,181.40339620270467
giro-d-italia/2019/stage-14,Giro d'Italia,80,100,131000,4187,4,896,,1,0,0,2019-05-25,0.0319618320610687,1529.0,750.2656622422346
tirreno-adriatico/1984/stage-5,Tirreno-Adriatico,50,,211000,1755,1,541,,1,0,0,1984-03-13,0.008317535545023697,6.0,1.9894458366193606
vuelta-a-espana/1994/stage-3,Vuelta a España,80,,239000,1082,1,791,,1,0,0,1994-04-27,0.0045271966527196655,9.0,19.212188271178643
vuelta-a-espana/1993/stage-21,Vuelta a España,80,,44600,818,4,819,,1,0,0,1993-05-16,0.018340807174887893,642.0,204.03498578202462
tour-de-suisse/2021/stage-4,Tour de Suisse,50,60,171000,1940,2,670,,1,0,0,2021-06-09,0.011345029239766082,316.0,156.57884635377562
gran-camino/2022/stage-2,Gran Camiño,20,14,177600,3006,3,225,,1,0,0,2022-02-25,0.016925675675675676,131.5,202.48367885511834
vuelta-a-espana/1980/stage-19,Vuelta a España,80,,84000,1213,3,520,,1,0,0,1980-05-11,0.014440476190476191,0.0,0.0
giro-d-italia/1999/stage-8,Giro d'Italia,80,,253000,4298,5,1057,,1,0,0,1999-05-22,0.01698814229249012,1030.0,575.5458853414477
tour-de-suisse/1983/stage-5b,Tour de Suisse,50,,19000,152,1,809,,1,0,0,1983-06-19,0.008,66.5,36.1817940713589
vuelta-a-espana/1988/stage-21,Vuelta a España,80,,202000,2500,2,828,,1,0,0,1988-05-15,0.012376237623762377,0.0,0.0
volta-a-catalunya/2022/stage-3,Volta Ciclista a Catalunya,50,50,161100,3394,5,722,,1,0,0,2022-03-23,0.02106765983860956,356.0,506.10909302045974
vuelta-a-espana/1984/stage-11,Vuelta a España,80,,182000,2609,3,747,,1,0,0,1984-04-28,0.014335164835164836,826.0,493.0331761206327
tour-de-france/2022/stage-2,Tour de France,100,120,202200,1149,1,1551,22,1,0,0,2022-07-02,0.005682492581602374,0.0,107.06087398726136
tour-de-romandie/2009/stage-1,Tour de Romandie,50,,87000,1128,2,714,,1,0,0,2009-04-29,0.01296551724137931,31.0,133.8173867112462
tirreno-adriatico/2005/stage-6,Tirreno-Adriatico,50,,164000,1405,1,1040,,1,0,0,2005-03-14,0.008567073170731708,0.0,13.557887534735995
paris-nice/1985/stage-6,Paris - Nice,50,,171000,2108,2,815,,1,0,0,1985-03-09,0.01232748538011696,50.0,13.89347225961068
volta-a-catalunya/2004/stage-6,Volta a Catalunya,50,,148100,2416,3,376,,1,0,0,2004-06-19,0.016313301823092506,17.0,154.07803303857327
giro-d-italia/2004/stage-18,Giro d'Italia,80,,118000,3813,5,621,,1,0,0,2004-05-28,0.0323135593220339,1423.0,594.2286543672815
volta-a-catalunya/2012/stage-2,Volta Ciclista a Catalunya,50,,161000,2451,2,760,,1,0,0,2012-03-20,0.01522360248447205,129.0,272.3164755521465
vuelta-a-espana/2019/stage-9,La Vuelta ciclista a España,80,100,94400,3300,5,798,,1,0,0,2019-09-01,0.034957627118644065,1702.0,681.0770038828457
