_url,name,points,uci_points,length,climb_total,profile,startlist_quality,average_temperature,is_tarmac,is_cobbled,is_gravel,climb/length
tour-de-france/1978/stage-6,Tour de France,100,,162000,1101,1,1241,,1,0,0,0.006796296296296296
vuelta-a-espana/2016/stage-14,Vuelta a España,80,100,196000,5575,5,821,,1,0,0,0.02844387755102041
tour-de-france/2019/stage-21,Tour de France,100,120,128000,781,1,1699,,1,0,0,0.0061015625
volta-a-catalunya/1999/prologue,Volta Ciclista a Catalunya,50,,8100,,,804,,1,0,0,
tour-de-france/2022/stage-9,Tour de France,100,120,192900,3743,3,1551,24,1,0,0,0.01940383618455158
vuelta-a-espana/2017/stage-20,Vuelta a España,80,100,117500,3817,5,899,,1,0,0,0.032485106382978725
tour-de-france/1978/stage-14,Tour de France,100,,52000,1351,5,1241,,1,0,0,0.02598076923076923
volta-a-catalunya/2018/stage-7,Volta Ciclista a Catalunya,50,50,154800,2008,2,659,,1,0,0,0.012971576227390182
volta-a-catalunya/1981/stage-2b,Volta Ciclista a Catalunya,50,,30000,,,388,,1,0,0,
paris-nice/1994/stage-8b,Paris - Nice,50,,12500,,,900,,1,0,0,
tirreno-adriatico/1984/stage-1,Tirreno-Adriatico,50,,189000,,,541,,1,0,0,
dauphine/1991/stage-2,Critérium du Dauphiné Libéré,50,,222000,,,830,,1,0,0,
dauphine/2022/stage-7,Critérium du Dauphiné,50,60,134800,3828,5,789,22,1,0,0,0.028397626112759644
ronde-van-vlaanderen/1980/result,Ronde van Vlaanderen / Tour des Flandres,275,,265000,,,602,,0,0,0,
volta-a-catalunya/2015/stage-4,Volta Ciclista a Catalunya,50,6,188400,3867,3,817,,1,0,0,0.02052547770700637
milano-sanremo/2004/result,Milano-Sanremo,275,,294000,,,1400,,0,0,0,
tour-de-suisse/1997/stage-6,Tour de Suisse,50,,193900,,,1161,,1,0,0,
tirreno-adriatico/2005/stage-2,Tirreno-Adriatico,50,,181000,,3,1040,,1,0,0,
giro-d-italia/2019/stage-14,Giro d'Italia,80,100,131000,4187,4,896,,1,0,0,0.0319618320610687
tirreno-adriatico/1984/stage-5,Tirreno-Adriatico,50,,211000,,,541,,1,0,0,
vuelta-a-espana/1994/stage-3,Vuelta a España,80,,239000,1082,,791,,1,0,0,0.0045271966527196655
vuelta-a-espana/1993/stage-21,Vuelta a España,80,,44600,818,,819,,1,0,0,0.018340807174887893
tour-de-suisse/2021/stage-4,Tour de Suisse,50,60,171000,1940,2,670,,1,0,0,0.011345029239766082
gran-camino/2022/stage-2,Gran Camiño,20,14,177600,3006,3,225,,1,0,0,0.016925675675675676
vuelta-a-espana/1980/stage-19,Vuelta a España,80,,84000,,,520,,1,0,0,
giro-d-italia/1999/stage-8,Giro d'Italia,80,,253000,,5,1057,,1,0,0,
tour-de-suisse/1983/stage-5b,Tour de Suisse,50,,19000,,,809,,1,0,0,
vuelta-a-espana/1988/stage-21,Vuelta a España,80,,202000,2500,,828,,1,0,0,0.012376237623762377
volta-a-catalunya/2022/stage-3,Volta Ciclista a Catalunya,50,50,161100,3394,5,722,,1,0,0,0.02106765983860956
vuelta-a-espana/1984/stage-11,Vuelta a España,80,,182000,,,747,,1,0,0,
tour-de-france/2022/stage-2,Tour de France,100,120,202200,1149,1,1551,22,1,0,0,0.005682492581602374
tour-de-romandie/2009/stage-1,Tour de Romandie,50,,87000,,,714,,1,0,0,
tirreno-adriatico/2005/stage-6,Tirreno-Adriatico,50,,164000,,1,1040,,1,0,0,
paris-nice/1985/stage-6,Paris - Nice,50,,171000,,,815,,1,0,0,
volta-a-catalunya/2004/stage-6,Volta a Catalunya,50,,148100,,3,376,,1,0,0,
giro-d-italia/2004/stage-18,Giro d'Italia,80,,118000,3813,5,621,,1,0,0,0.0323135593220339
volta-a-catalunya/2012/stage-2,Volta Ciclista a Catalunya,50,,161000,,2,760,,1,0,0,
vuelta-a-espana/2019/stage-9,La Vuelta ciclista a España,80,100,94400,3300,5,798,,1,0,0,0.034957627118644065
giro-d-italia/2016/stage-6,Giro d'Italia,80,100,157000,3749,5,933,,1,0,0,0.023878980891719744
tour-de-france/1997/stage-15,Tour de France,100,,208500,5000,4,1994,,1,0,0,0.023980815347721823
tour-de-france/2000/stage-8,Tour de France,100,,203500,2570,1,1437,,1,0,0,0.01262899262899263
tour-de-france/1981/stage-2,Tour de France,100,,254000,3500,1,1362,,1,0,0,0.013779527559055118
volta-a-catalunya/1993/prologue,Volta Ciclista a Catalunya,50,,6800,,,884,,1,0,0,
tirreno-adriatico/1999/stage-4,Tirreno-Adriatico,50,,197000,,,1150,,1,0,0,
tour-de-france/1981/stage-15,Tour de France,100,,231000,4000,4,1362,,1,0,0,0.017316017316017316
tour-de-suisse/1998/stage-1,Tour de Suisse,50,,178000,,,971,,1,0,0,
giro-d-italia/2017/stage-15,Giro d'Italia,80,100,199000,2255,2,881,,1,0,0,0.011331658291457287
dauphine/1983/stage-6,Critérium du Dauphiné Libéré,50,,190000,,,621,,1,0,0,
la-fleche-wallone/2015/result,La Flèche Wallonne,225,,205500,3030,3,1112,,0,0,0,0.014744525547445255
vuelta-a-espana/2014/stage-9,Vuelta a España,80,16,185000,3080,5,1175,,1,0,0,0.016648648648648647
giro-d-italia/2011/stage-13,Giro d'Italia,80,16,167000,4208,5,891,,1,0,0,0.025197604790419163
giro-d-italia/2010/stage-9,Giro d'Italia,80,16,188000,1018,3,878,,1,0,0,0.005414893617021277
e3-harelbeke/2002/result,E3-Prijs Harelbeke,125,,209000,,2,400,,0,0,0,
paris-nice/2018/stage-3,Paris - Nice,50,60,210000,2380,2,936,,1,0,0,0.011333333333333334
vuelta-a-espana/2020/stage-7,La Vuelta ciclista a España,80,100,159700,2657,2,692,,1,0,0,0.016637445209768315
tirreno-adriatico/1994/stage-6,Tirreno-Adriatico,50,,137000,,,727,,1,0,0,
itzulia-basque-country/2007/stage-3,Vuelta al País Vasco,50,,173000,,,1002,,1,0,0,
itzulia-basque-country/2012/stage-1,Vuelta Ciclista al País Vasco,50,6,154000,2703,,928,,1,0,0,0.01755194805194805
tirreno-adriatico/2018/stage-2,Tirreno-Adriatico,50,60,167000,776,1,1196,,1,0,0,0.0046467065868263475
vuelta-a-espana/1988/stage-18,Vuelta a España,80,,212500,3610,,828,,1,0,0,0.016988235294117648
tour-de-france/2002/stage-14,Tour de France,100,,221000,4000,5,1489,,1,0,0,0.01809954751131222
tirreno-adriatico/2020/stage-2,Tirreno-Adriatico,50,60,201000,1492,2,687,,1,0,0,0.0074228855721393035
vuelta-a-espana/1980/stage-18,Vuelta a España,80,,197000,,,520,,1,0,0,
vuelta-a-espana/1994/stage-8,Vuelta a España,80,,39500,403,,791,,1,0,0,0.01020253164556962
vuelta-a-espana/1993/stage-4,Vuelta a España,80,,233400,1375,,819,,1,0,0,0.005891173950299915
tirreno-adriatico/1996/stage-4,Tirreno-Adriatico,50,,205000,,,585,,1,0,0,
tour-de-suisse/1986/stage-2,Tour de Suisse,50,,136500,,,835,,1,0,0,
tour-de-suisse/1987/stage-4,Tour de Suisse,50,,25000,,,673,,1,0,0,
vuelta-a-espana/1980/stage-8,Vuelta a España,80,,160000,,,520,,1,0,0,
