method,clusters_size,n_cluster,silhouette_score,coph_corr,features
single,[5228   21    1],3,0.6579530333261966,0.708399007813515,"['length', 'climb/length', 'startlist_quality']"
single,[   6 5222   21    1],4,0.6144026680772114,0.708399007813515,"['length', 'climb/length', 'startlist_quality']"
single,[   6 5222    2   19    1],5,0.6141140486280344,0.708399007813515,"['length', 'climb/length', 'startlist_quality']"
single,[   6 5222    2    3   16    1],6,0.6113350031666414,0.708399007813515,"['length', 'climb/length', 'startlist_quality']"
single,[   2 5247    1],3,0.5994812242985557,0.655289418232598,"['length', 'climb_total', 'climb/length']"
single,[5248    1    1],3,0.5900803689736516,0.6638022397006643,"['length', 'climb/length', 'median_delta']"
average,[  28    2 5220],3,0.5892704967187208,0.8011844286909774,"['climb/length', 'median_delta', 'startlist_quality']"
single,[   2 5244    3    1],4,0.5737154669115513,0.655289418232598,"['length', 'climb_total', 'climb/length']"
single,[   2   22 5222    2    1    1],6,0.5658786849832845,0.655289418232598,"['length', 'climb_total', 'climb/length']"
single,[   2   22 5221    1    2    1    1],7,0.5625151207400703,0.655289418232598,"['length', 'climb_total', 'climb/length']"
average,[ 508 3967  775],3,0.5585681601133116,0.8339195974760166,"['points', 'climb_total', 'median_delta']"
single,[   2 5244    2    1    1],5,0.5581122275300053,0.655289418232598,"['length', 'climb_total', 'climb/length']"
ward,[ 508  453 4289],3,0.5463467594610601,0.755229231536732,"['points', 'climb/length', 'median_delta']"
average,[ 508  711 4031],3,0.5462675584569302,0.8380949270320813,"['points', 'length', 'climb_total']"
average,[   2  506 3967  775],4,0.5441848576578165,0.8339195974760166,"['points', 'climb_total', 'median_delta']"
ward,[ 508  680 4062],3,0.5429342577642773,0.8028647541340176,"['points', 'length', 'climb_total']"
average,[  55  508 4687],3,0.5408192569021182,0.8486401110887601,"['points', 'length', 'climb/length']"
ward,[3641  508 1101],3,0.5382137954454679,0.7398065612348762,"['points', 'climb_total', 'median_delta']"
single,[5221   28    1],3,0.5356052442470257,0.6186599160911422,"['climb_total', 'climb/length', 'startlist_quality']"
single,[5221   27    1    1],4,0.5348070448781113,0.6186599160911422,"['climb_total', 'climb/length', 'startlist_quality']"
average,[  28 4682  540],3,0.5345007653452603,0.810091730956877,"['climb_total', 'climb/length', 'median_delta']"
single,[5221    6   21    1    1],5,0.530855687856171,0.6186599160911422,"['climb_total', 'climb/length', 'startlist_quality']"
complete,[  56  508 4686],3,0.529375080277445,0.7979311454580628,"['points', 'climb_total', 'climb/length']"
average,[ 507    1  711 4031],4,0.5293104095477238,0.8380949270320813,"['points', 'length', 'climb_total']"
average,[  57  508 4685],3,0.5291473930378088,0.8241312523049772,"['points', 'climb_total', 'climb/length']"
single,[   2 5247    1],3,0.5274552442840506,0.5848569109151751,"['length', 'median_delta', 'startlist_quality']"
average,[   2  506 3967  774    1],5,0.5261756943830811,0.8339195974760166,"['points', 'climb_total', 'median_delta']"
complete,[ 103  508 4639],3,0.5187674911641521,0.7101808296301673,"['points', 'length', 'climb/length']"
average,[  28 4682    6  534],4,0.5161656827931861,0.810091730956877,"['climb_total', 'climb/length', 'median_delta']"
average,[  26  224 4492  508],4,0.5129089784120834,0.8650005482223623,"['points', 'climb/length', 'median_delta']"
average,[ 508  684  844 3214],4,0.5088947755003643,0.8517649088446797,"['points', 'length', 'startlist_quality']"
single,[4742  507    1],3,0.5080987664946683,0.5807048766712455,"['points', 'climb/length', 'median_delta']"
single,[4742  507    1],3,0.507568639831237,0.5749379737370216,"['points', 'climb_total', 'median_delta']"
ward,[ 508  707  593 3442],4,0.5070308222964272,0.8275380545611692,"['points', 'length', 'startlist_quality']"
ward,[ 508 1349  686 2707],4,0.5069355710210101,0.7477734020947466,"['points', 'length', 'median_delta']"
average,[  40  508 4702],3,0.5063849299239359,0.8333786206708368,"['points', 'climb/length', 'startlist_quality']"
average,[   2  506 3967   10  764    1],6,0.5055470955637911,0.8339195974760166,"['points', 'climb_total', 'median_delta']"
complete,[3704  508   61  977],4,0.505099630047199,0.7376555532823066,"['points', 'climb_total', 'climb/length', 'median_delta']"
single,[4742   53  455],3,0.5043528871346584,0.6642148845382484,"['points', 'length', 'startlist_quality']"
average,[ 508  134  550  844 3214],5,0.5042300398755293,0.8517649088446797,"['points', 'length', 'startlist_quality']"
average,[  36 5191   23],3,0.5040759784145393,0.7235966603965633,"['climb_total', 'climb/length', 'median_delta', 'startlist_quality']"
single,[4742   53  455],3,0.5037992467536987,0.6187829831853149,"['points', 'length', 'climb_total']"
single,[   2 4742  506],3,0.5035697716145009,0.6159399057376367,"['points', 'length', 'median_delta']"
average,[  26  224 4492    2  506],5,0.5028349524202862,0.8650005482223623,"['points', 'climb/length', 'median_delta']"
ward,[3734  508 1008],3,0.5004284262439368,0.797871539184922,"['points', 'median_delta', 'startlist_quality']"
single,[4742   53  455],3,0.49909433143513054,0.6331987565727503,"['points', 'length', 'climb/length']"
single,[5221   28    1],3,0.497251144536763,0.6577326421685586,"['length', 'climb_total', 'climb/length', 'startlist_quality']"
average,[  36 5191   22    1],4,0.4968761533035017,0.7235966603965633,"['climb_total', 'climb/length', 'median_delta', 'startlist_quality']"
average,[  26  224 5000],3,0.4967274258980089,0.8650005482223623,"['points', 'climb/length', 'median_delta']"
single,[5221   27    1    1],4,0.49638065137794757,0.6577326421685586,"['length', 'climb_total', 'climb/length', 'startlist_quality']"
average,[ 508  179 4563],3,0.49599630610002265,0.8608467270688923,"['points', 'length', 'median_delta']"
complete,[ 253  508 4489],3,0.4946841305193186,0.8220538653295212,"['points', 'median_delta', 'startlist_quality']"
average,[  29 4563  658],3,0.494360412686073,0.7778042313834607,"['length', 'climb_total', 'climb/length']"
complete,[ 508  230 4512],3,0.4939011635385181,0.8328899753721735,"['points', 'length', 'median_delta']"
complete,[  69  508 4673],3,0.4938197243738101,0.8253409968641661,"['points', 'climb_total', 'median_delta']"
average,[   2    2  504 3967   10  764    1],7,0.4935160580706014,0.8339195974760166,"['points', 'climb_total', 'median_delta']"
average,[  26    5  219 4492    2  506],6,0.49333879782857626,0.8650005482223623,"['points', 'climb/length', 'median_delta']"
average,[  53  455  134  550  844 3214],6,0.4919842964137492,0.8517649088446797,"['points', 'length', 'startlist_quality']"
average,[ 508 4475  267],3,0.49065759761584665,0.8466127492428348,"['points', 'median_delta', 'startlist_quality']"
single,[5220    1    6   21    1    1],6,0.48984649389394525,0.6186599160911422,"['climb_total', 'climb/length', 'startlist_quality']"
single,[5220    1    6    2   19    1    1],7,0.4897574817927765,0.6186599160911422,"['climb_total', 'climb/length', 'startlist_quality']"
single,[5221    7   19    1    1    1],6,0.48934238006338593,0.6993785232518946,"['climb/length', 'median_delta', 'startlist_quality']"
single,[5228   20    1    1],4,0.4890414959120411,0.6993785232518946,"['climb/length', 'median_delta', 'startlist_quality']"
ward,[3734  508  547  461],4,0.4885072505928699,0.797871539184922,"['points', 'median_delta', 'startlist_quality']"
complete,[4000  508   30   80  632],5,0.48824826481656525,0.7370294740594558,"['points', 'climb/length', 'median_delta']"
single,[5221    2    5   19    1    1    1],7,0.48820962670342627,0.6993785232518946,"['climb/length', 'median_delta', 'startlist_quality']"
average,[   2  506    3  176  683 1051 2829],7,0.4876110535966961,0.8608467270688923,"['points', 'length', 'median_delta']"
complete,[ 508  230  950 2915  647],5,0.4875974211656444,0.8328899753721735,"['points', 'length', 'median_delta']"
single,[5228   19    1    1    1],5,0.48747932328457466,0.6993785232518946,"['climb/length', 'median_delta', 'startlist_quality']"
average,[   2    2  452   52 3967   10  764    1],8,0.4862167635405659,0.8339195974760166,"['points', 'climb_total', 'median_delta']"
average,[   2  506  179 4563],4,0.48470625246690663,0.8608467270688923,"['points', 'length', 'median_delta']"
ward,[ 680 3362  508  700],4,0.48436494358999665,0.7769080701909101,"['points', 'length', 'climb_total', 'median_delta']"
single,[5248    1    1],3,0.48414945538977794,0.6993785232518946,"['climb/length', 'median_delta', 'startlist_quality']"
average,[  55 3479 1207  506    3],5,0.48275321467821386,0.7797286036471732,"['points', 'climb_total', 'climb/length', 'median_delta']"
single,[4742   53  455],3,0.4825063732884056,0.5990778683951654,"['points', 'climb_total', 'climb/length']"
average,[ 508  684 4058],3,0.4818896746980851,0.8517649088446797,"['points', 'length', 'startlist_quality']"
complete,[  56  508  790 3896],4,0.4805087558071477,0.7979311454580628,"['points', 'climb_total', 'climb/length']"
complete,[   2  506  230  950 2915  647],6,0.48025210337635144,0.8328899753721735,"['points', 'length', 'median_delta']"
average,[   2  506 4475  267],4,0.4792789836163417,0.8466127492428348,"['points', 'median_delta', 'startlist_quality']"
single,[5248    1    1],3,0.47911273023148765,0.6684329031312753,"['climb_total', 'climb/length', 'median_delta']"
complete,[  52  201  508  902  602 2985],6,0.4788677989541068,0.8220538653295212,"['points', 'median_delta', 'startlist_quality']"
single,[4742   53  455],3,0.47753163479188204,0.6072572232266966,"['points', 'median_delta', 'startlist_quality']"
single,[   2 4740   53  455],4,0.4773118082441541,0.5990778683951654,"['points', 'climb_total', 'climb/length']"
average,[  57  508  492 4193],4,0.47649423634130633,0.8241312523049772,"['points', 'climb_total', 'climb/length']"
complete,[   2  506    5  225  950 2915  647],7,0.47647002552247986,0.8328899753721735,"['points', 'length', 'median_delta']"
single,[5247    1    1    1],4,0.4762514697625664,0.6684329031312753,"['climb_total', 'climb/length', 'median_delta']"
average,[  54    1 3479 1207  506    3],6,0.4759868229923448,0.7797286036471732,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[  56 4712  482],3,0.47587815632215,0.817222247152381,"['length', 'climb/length', 'median_delta']"
ward,[ 508 3737 1005],3,0.4758443399238536,0.7542873365938703,"['points', 'length', 'climb/length']"
single,[   2 4742   53  453],4,0.4754964952217394,0.6159399057376367,"['points', 'length', 'median_delta']"
single,[4742   53  454    1],4,0.47485108682481225,0.5807048766712455,"['points', 'climb/length', 'median_delta']"
single,[4742   53  454    1],4,0.4745994140091889,0.5749379737370216,"['points', 'climb_total', 'median_delta']"
ward,[ 508  314 1035  686 2707],5,0.47224205526921026,0.7477734020947466,"['points', 'length', 'median_delta']"
average,[  55  508  832 3855],4,0.47089990287259675,0.8486401110887601,"['points', 'length', 'climb/length']"
ward,[ 508 3737  223  782],4,0.4697697203592534,0.7542873365938703,"['points', 'length', 'climb/length']"
single,[4742   53  455],3,0.46925116789961646,0.6549228806980254,"['points', 'climb/length', 'startlist_quality']"
average,[  29 4563   81  577],4,0.46914161394761333,0.7778042313834607,"['length', 'climb_total', 'climb/length']"
average,[  26    5  219 3345  956  191    2  506],8,0.46895519218603365,0.8650005482223623,"['points', 'climb/length', 'median_delta']"
single,[   3    1    2   16 4720   53  455],7,0.4687187245563942,0.6549228806980254,"['points', 'climb/length', 'startlist_quality']"
single,[4742   53  455],3,0.4682243360069986,0.6461705991799473,"['points', 'climb_total', 'startlist_quality']"
average,[  26    5  219 3345 1147    2  506],7,0.4679914202529809,0.8650005482223623,"['points', 'climb/length', 'median_delta']"
average,[  57  508 4685],3,0.467686147201051,0.8189888002129369,"['points', 'length', 'climb_total', 'climb/length']"
complete,[  52  201   77  431  902  602 2985],7,0.4663773632569057,0.8220538653295212,"['points', 'median_delta', 'startlist_quality']"
single,[5246    1    1    1    1],5,0.4661527718067208,0.517273402682464,"['length', 'climb_total', 'median_delta']"
single,[5248    1    1],3,0.46608595488793575,0.517273402682464,"['length', 'climb_total', 'median_delta']"
single,[5247    1    1    1],4,0.4658365172044034,0.517273402682464,"['length', 'climb_total', 'median_delta']"
average,[   2  506  179  683 3880],5,0.46536693504632864,0.8608467270688923,"['points', 'length', 'median_delta']"
complete,[  52  201   77    2  429  902  602 2985],8,0.4649541714644209,0.8220538653295212,"['points', 'median_delta', 'startlist_quality']"
single,[   3    1    2   16    6 4714   53  455],8,0.46455345752022703,0.6549228806980254,"['points', 'climb/length', 'startlist_quality']"
single,[   4 4738   53  455],4,0.4640950457410534,0.6549228806980254,"['points', 'climb/length', 'startlist_quality']"
ward,[4042  508  700],3,0.46392619560579795,0.7769080701909101,"['points', 'length', 'climb_total', 'median_delta']"
ward,[ 947  687 3616],3,0.4635942803525583,0.7110764500761447,"['length', 'climb_total', 'median_delta']"
single,[   4    2 4736   53  455],5,0.4632574421621589,0.6549228806980254,"['points', 'climb/length', 'startlist_quality']"
single,[5219    1    1    6    2   19    1    1],8,0.4619205618845839,0.6186599160911422,"['climb_total', 'climb/length', 'startlist_quality']"
single,[   3    1    2 4736   53  455],6,0.46174815186321844,0.6549228806980254,"['points', 'climb/length', 'startlist_quality']"
average,[  27   28  508  832 3855],5,0.46171747826992743,0.8486401110887601,"['points', 'length', 'climb/length']"
complete,[3704  508   61  789  188],5,0.46098908890799273,0.7376555532823066,"['points', 'climb_total', 'climb/length', 'median_delta']"
ward,[ 508  707 4035],3,0.46053757234367326,0.8275380545611692,"['points', 'length', 'startlist_quality']"
ward,[3260  508 1482],3,0.4602347226642566,0.6670755758476412,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[  54    1 3479 1207  506    2    1],7,0.4600569844488243,0.7797286036471732,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[   2  506 4475  227   40],5,0.460056653232634,0.8466127492428348,"['points', 'median_delta', 'startlist_quality']"
