Best configuration: 0.812494 using {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 26}
Mean and std of this setting: 0.747280 - 0.002754

All configurations sorted by score:
Mean: 0.747280, Std: 0.002754 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 44}
Mean: 0.755884, Std: 0.002019 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 39, 'min_samples_split': 20}
Mean: 0.712940, Std: 0.009037 with: {'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 24, 'min_samples_split': 37}
Mean: 0.715628, Std: 0.003192 with: {'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 25}
Mean: 0.810838, Std: 0.001519 with: {'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 22}
Mean: 0.747459, Std: 0.002787 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 22, 'min_samples_split': 45}
Mean: 0.657333, Std: 0.015387 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 42, 'min_samples_split': 29}
Mean: 0.752765, Std: 0.001572 with: {'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 47, 'min_samples_split': 45}
Mean: 0.749415, Std: 0.003045 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 38}
Mean: 0.785779, Std: 0.001657 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 40}
Mean: 0.751900, Std: 0.002809 with: {'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 14, 'min_samples_split': 10}
Mean: 0.768204, Std: 0.002398 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 29}
Mean: 0.741340, Std: 0.003362 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 44, 'min_samples_split': 9}
Mean: 0.713332, Std: 0.003650 with: {'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 17, 'min_samples_split': 37}
Mean: 0.751081, Std: 0.003527 with: {'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 43}
Mean: 0.775314, Std: 0.001827 with: {'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 18, 'min_samples_split': 27}
Mean: 0.684320, Std: 0.015971 with: {'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 36, 'min_samples_split': 15}
Mean: 0.783247, Std: 0.001963 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 14, 'min_samples_split': 24}
Mean: 0.665585, Std: 0.023508 with: {'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 40, 'min_samples_split': 22}
Mean: 0.752381, Std: 0.002227 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 47, 'min_samples_split': 25}
Mean: 0.658866, Std: 0.020730 with: {'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 45, 'min_samples_split': 42}
Mean: 0.812494, Std: 0.001617 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 26}
Mean: 0.661430, Std: 0.023073 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 45}
Mean: 0.776463, Std: 0.001550 with: {'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 9}
Mean: 0.714558, Std: 0.007672 with: {'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 43}
Mean: 0.686881, Std: 0.012647 with: {'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 28, 'min_samples_split': 8}
Mean: 0.744672, Std: 0.002996 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 33, 'min_samples_split': 49}
Mean: 0.768946, Std: 0.001994 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 24, 'min_samples_split': 38}
Mean: 0.746336, Std: 0.002640 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 22, 'min_samples_split': 28}
Mean: 0.663563, Std: 0.012969 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 37, 'min_samples_split': 48}
Mean: 0.715176, Std: 0.004616 with: {'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 27}
Mean: 0.758831, Std: 0.002092 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 39, 'min_samples_split': 28}
Mean: 0.766201, Std: 0.001976 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 26, 'min_samples_split': 43}
Mean: 0.759899, Std: 0.001672 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 40}
Mean: 0.744092, Std: 0.003072 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 5}
Mean: 0.755343, Std: 0.002141 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 39, 'min_samples_split': 46}
Mean: 0.712768, Std: 0.004618 with: {'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 36, 'min_samples_split': 14}
Mean: 0.770125, Std: 0.001576 with: {'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 22, 'min_samples_split': 29}
Mean: 0.685883, Std: 0.008604 with: {'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 29}
Mean: 0.750045, Std: 0.003581 with: {'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 31}
Mean: 0.713445, Std: 0.003589 with: {'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 28, 'min_samples_split': 26}
Mean: 0.808504, Std: 0.001575 with: {'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 28}
Mean: 0.667107, Std: 0.016476 with: {'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 13, 'min_samples_split': 42}
Mean: 0.793414, Std: 0.001623 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 28}
Mean: 0.761586, Std: 0.002094 with: {'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 33, 'min_samples_split': 43}
Mean: 0.760707, Std: 0.002105 with: {'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 33}
Mean: 0.662516, Std: 0.022959 with: {'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 49, 'min_samples_split': 50}
Mean: 0.745064, Std: 0.002716 with: {'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 39, 'min_samples_split': 3}
Mean: 0.659630, Std: 0.015393 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 49, 'min_samples_split': 18}
Mean: 0.668398, Std: 0.012742 with: {'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 29}
