*** Grid search for a Decision Tree defined on the randomly undersampled dataset. Scoring='f1_macro' ***
Best configuration: 0.726628 using {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 24, 'min_samples_split': 38}
Mean and std of this setting: 0.724947 - 0.003353

All configurations sorted by score:
Mean: 0.726628, Std: 0.003298 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 24, 'min_samples_split': 38}
Mean: 0.725976, Std: 0.003814 with: {'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 33, 'min_samples_split': 43}
Mean: 0.725839, Std: 0.003267 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 38}
Mean: 0.725763, Std: 0.002773 with: {'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 9}
Mean: 0.725697, Std: 0.003143 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 40}
Mean: 0.725604, Std: 0.004007 with: {'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 43}
Mean: 0.725427, Std: 0.003659 with: {'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 18, 'min_samples_split': 27}
Mean: 0.725393, Std: 0.003405 with: {'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 22, 'min_samples_split': 29}
Mean: 0.725259, Std: 0.003070 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 22, 'min_samples_split': 45}
Mean: 0.725058, Std: 0.004207 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 29}
Mean: 0.724947, Std: 0.003353 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 44}
Mean: 0.724877, Std: 0.003365 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 14, 'min_samples_split': 24}
Mean: 0.724789, Std: 0.002865 with: {'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 33}
Mean: 0.724297, Std: 0.003154 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 40}
Mean: 0.724029, Std: 0.003766 with: {'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 31}
Mean: 0.724001, Std: 0.004383 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 26, 'min_samples_split': 43}
Mean: 0.723998, Std: 0.003501 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 47, 'min_samples_split': 25}
Mean: 0.723761, Std: 0.003237 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 39, 'min_samples_split': 28}
Mean: 0.723463, Std: 0.003351 with: {'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 14, 'min_samples_split': 10}
Mean: 0.723434, Std: 0.004190 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 22, 'min_samples_split': 28}
Mean: 0.723394, Std: 0.003336 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 39, 'min_samples_split': 20}
Mean: 0.723365, Std: 0.004623 with: {'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 39, 'min_samples_split': 46}
Mean: 0.722525, Std: 0.003167 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 44, 'min_samples_split': 9}
Mean: 0.722474, Std: 0.003536 with: {'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 39, 'min_samples_split': 3}
Mean: 0.722211, Std: 0.002309 with: {'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 47, 'min_samples_split': 45}
Mean: 0.722095, Std: 0.003171 with: {'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 28}
Mean: 0.721946, Std: 0.004059 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 33, 'min_samples_split': 49}
Mean: 0.721823, Std: 0.002374 with: {'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 32, 'min_samples_split': 5}
